Elmntkey,Study_Area,Sub_Area,Date Time,Side,Unitdesc,Peak Hour_SDOT,Parking_Spaces,Total_Vehicle_Count,Dp_Count,Rpz_Count,TG_Car2Go,BMW_DN,Lime,Idling,Field Notes,Construction,Event Closure,Subarea Label,Study Year,Peak Hour? (Yes or No),RPZ Blocks,CSM,Time Stamp
77982,South Lake Union,North,9/27/2017 20:00,E,DEXTER AVE N BETWEEN VALLEY ST AND ALOHA ST,,2,3,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:38:00 PM
35881,South Lake Union,North,9/27/2017 20:00,N,VALLEY ST BETWEEN DEXTER AVE N AND 8TH AVE N,,15,12,1,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:36:00 PM
8405,South Lake Union,North,9/27/2017 20:00,W,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,,7,4,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:36:00 PM
8406,South Lake Union,North,9/27/2017 20:00,E,8TH AVE N BETWEEN VALLEY ST AND ALOHA ST,,10,5,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:36:00 PM
8625,South Lake Union,North,9/27/2017 20:00,W,9TH AVE N BETWEEN BROAD E ST AND WESTLAKE AVE N,,0,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:32:00 PM
8626,South Lake Union,North,9/27/2017 20:00,E,9TH AVE N BETWEEN BROAD E ST AND WESTLAKE AVE N,,9,4,1,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:32:00 PM
81497,South Lake Union,North,9/27/2017 20:00,SW,WESTLAKE AVE N BETWEEN VALLEY ST AND 9TH AVE N,,0,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:32:00 PM
53549,South Lake Union,North,9/27/2017 20:00,W,8TH AVE N BETWEEN ALOHA ST AND WESTLAKE S AVE N,,25,14,,,,,,,Updated Supply to 25 from 28,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:26:00 PM
12682,South Lake Union,North,9/27/2017 20:00,S,ROY ST BETWEEN FAIRVIEW AVE N AND MINOR AVE N,,14,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:24:00 PM
76717,South Lake Union,North,9/27/2017 20:00,N,ALOHA ST BETWEEN DEXTER AVE N AND 8TH AVE N,,2,1,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:24:00 PM
57201,South Lake Union,North,9/27/2017 20:00,W,MINOR AVE N BETWEEN ROY ST AND VALLEY ST,,12,0,,,,,,,,No,No,South Lake Union (North Subarea),2017,No,0,Y,09/27/2017 08:23:00 PM
